Epoch 0: Loss = 3.4719, Accuracy = 1.00%
Epoch 0: Loss = 3.3836, Accuracy = 11.00%
Epoch 0: Loss = 3.3848, Accuracy = 11.00%
Epoch 0: Loss = 3.3978, Accuracy = 10.00%
Epoch 0: Loss = 3.3097, Accuracy = 23.00%
Epoch 0: Loss = 3.4137, Accuracy = 7.00%
Epoch 0: Loss = 3.3905, Accuracy = 12.00%
Epoch 0: Loss = 3.3696, Accuracy = 14.00%
Epoch 0: Loss = 3.4011, Accuracy = 11.00%
Epoch 0: Loss = 3.3904, Accuracy = 12.00%
Epoch 0: Loss = 3.3464, Accuracy = 18.00%
Epoch 0: Loss = 3.4129, Accuracy = 10.00%
Epoch 0: Loss = 3.3809, Accuracy = 14.00%
Epoch 0: Loss = 3.3919, Accuracy = 12.00%
Epoch 0: Loss = 3.2678, Accuracy = 25.00%
Epoch 0: Loss = 3.3278, Accuracy = 20.00%
Epoch 0: Loss = 3.3801, Accuracy = 14.00%
Epoch 0: Loss = 3.3555, Accuracy = 16.00%
Epoch 0: Loss = 3.2717, Accuracy = 25.00%
Epoch 0: Loss = 3.2823, Accuracy = 24.00%
Epoch 0: Loss = 3.2678, Accuracy = 25.00%
Epoch 0: Loss = 3.3379, Accuracy = 18.00%
Epoch 0: Loss = 3.3362, Accuracy = 18.00%
Epoch 0: Loss = 3.2914, Accuracy = 22.00%
Epoch 0: Loss = 3.3453, Accuracy = 17.00%
Epoch 0: Loss = 3.3458, Accuracy = 17.00%
Epoch 0: Loss = 3.3788, Accuracy = 13.00%
Epoch 0: Loss = 3.3273, Accuracy = 19.00%
Epoch 0: Loss = 3.3091, Accuracy = 21.00%
Epoch 0: Loss = 3.4035, Accuracy = 11.00%
Epoch 0: Loss = 3.3073, Accuracy = 21.00%
Epoch 0: Loss = 3.2875, Accuracy = 22.00%
Epoch 0: Loss = 3.3366, Accuracy = 18.00%
Epoch 0: Loss = 3.3359, Accuracy = 18.00%
